size,run,sec_size,num_gates,process_time,initial_rss,final_rss
49,3,3,820,0.015625,123342848,123342848
49,4,3,823,0.015625,123867136,123867136
49,5,3,838,0.015625,124129280,124129280
50,1,3,865,0.015625,123023360,123023360
50,2,3,859,0.015625,123416576,123482112
50,3,3,861,0.015625,124006400,124006400
50,4,3,868,0.015625,124268544,124268544
50,5,3,864,0.015625,123453440,123453440
51,1,3,882,0.015625,123760640,123760640
51,2,3,897,0.015625,123400192,123465728
51,3,3,913,0.015625,123494400,123494400
51,4,3,896,0.0,124018688,124018688
51,5,3,876,0.015625,124542976,124542976
52,1,3,934,0.015625,123092992,123092992
52,2,3,934,0.015625,123469824,123469824
52,3,3,914,0.015625,124014592,124014592
52,4,3,931,0.015625,124538880,124538880
52,5,3,935,0.015625,125063168,125063168
53,1,3,968,0.015625,123629568,123629568
53,2,3,968,0.015625,124583936,124583936
53,3,3,954,0.015625,124190720,124190720
53,4,3,960,0.015625,124583936,124583936
53,5,3,968,0.015625,125108224,125108224
54,1,3,1017,0.015625,124989440,124989440
54,2,3,980,0.015625,123924480,123924480
54,3,3,994,0.015625,124239872,124239872
54,4,3,993,0.03125,124768256,124768256
54,5,3,984,0.015625,125292544,125292544
55,1,3,1037,0.015625,124215296,124215296
55,2,3,1033,0.015625,124645376,124710912
55,3,3,1029,0.015625,125169664,125235200
55,4,3,1028,0.015625,123224064,123289600
55,5,3,1023,0.015625,123113472,123133952
56,1,3,1042,0.015625,123682816,123682816
56,2,3,1068,0.03125,123990016,123990016
56,3,3,1100,0.015625,123990016,123990016
56,4,3,1053,0.03125,124514304,124514304
56,5,3,1081,0.03125,124776448,124776448
57,1,3,1105,0.015625,124907520,124907520
57,2,3,1117,0.015625,123465728,123465728
57,3,3,1102,0.015625,123596800,123596800
57,4,3,1104,0.015625,124121088,124121088
57,5,3,1117,0.015625,124616704,124616704
58,1,3,1147,0.03125,123015168,123015168
58,2,3,1142,0.015625,123695104,123707392
58,3,3,1117,0.03125,124321792,124428288
58,4,3,1126,0.03125,124280832,124280832
58,5,3,1153,0.015625,124813312,124813312
59,1,3,1177,0.015625,125128704,125128704
59,2,3,1177,0.015625,125386752,125386752
59,3,3,1185,0.015625,123764736,123764736
59,4,3,1196,0.03125,123809792,123809792
59,5,3,1167,0.03125,124342272,124342272
60,1,3,1225,0.015625,123535360,123535360
60,2,3,1241,0.03125,123699200,123699200
60,3,3,1247,0.03125,123514880,123514880
